id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là **4 giờ** để khắc phục, và **phản hồi ban đầu trong 15 phút** [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Both claims are directly supported by the context: P1 first response is 15 minutes and resolution is 4 hours.,5,"The answer directly states the SLA for P1 tickets, including both initial response and resolution time.",5,Retrieved: 1/1 expected sources,5,"Câu trả lời nêu đủ cả SLA phản hồi ban đầu 15 phút và thời gian xử lý 4 giờ, khớp với đáp án kỳ vọng.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng **7 ngày làm việc** kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,4,"The answer is supported by the context, but it changes ""7 ngày"" to ""7 ngày làm việc"". The context states both ""7 ngày làm việc"" for eligibility and also ""7 ngày"" in the refund condition, so this is a minor wording mismatch.",5,The answer directly states the refund request period and clearly addresses the question.,5,Retrieved: 1/1 expected sources,5,Câu trả lời nêu đúng đầy đủ mốc thời gian 7 ngày làm việc kể từ khi xác nhận đơn hàng.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Level 3 cần được phê duyệt bởi Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer exactly matches the retrieved context for Level 3 approval: Line Manager + IT Admin + IT Security.,5,"The answer directly states who must approve Level 3 access, which fully addresses the question.",5,Retrieved: 1/1 expected sources,5,"The answer includes all required approvers for Level 3: Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,The answer directly matches the context: digital products such as license keys and subscriptions are listed as non-refundable exceptions.,5,"Trả lời trực tiếp câu hỏi về việc sản phẩm kỹ thuật số có được hoàn tiền không, và nêu rõ là không.",5,Retrieved: 1/1 expected sources,5,Câu trả lời nêu đúng rằng sản phẩm kỹ thuật số không được hoàn tiền và đề cập đầy đủ ngoại lệ cho license key/subscription như đáp án mong đợi.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer exactly matches the retrieved context: the account is locked after 5 consecutive failed login attempts.,5,Trả lời trực tiếp câu hỏi về số lần đăng nhập sai dẫn đến khóa tài khoản.,5,Retrieved: 1/1 expected sources,5,"The model answer matches the expected answer exactly, including the key detail that the account is locked after 5 consecutive failed login attempts.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, escalation khẩn cấp chỉ áp dụng khi cần thay đổi quyền hệ thống ngoài quy trình thông thường: On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời; sau 24 giờ phải có ticket chính thức hoặc quyền bị thu hồi tự động; mọi quyền tạm thời phải được ghi log vào Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer is fully supported by the retrieved context and closely paraphrases it without adding unsupported details.,4,"Trả lời có liên quan trực tiếp đến escalation trong sự cố P1 và mô tả một quy trình escalation khẩn cấp. Tuy nhiên, nó chỉ nói về cấp quyền tạm thời và audit, chưa giải thích đầy đủ toàn bộ cách escalation P1 diễn ra.",5,Retrieved: 1/1 expected sources,1,"Answer không đề cập cơ chế escalation của ticket P1 sau 10 phút không phản hồi và thay vào đó nói về cấp quyền hệ thống, nên thiếu hầu hết nội dung cốt lõi.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Đó là tài liệu **it/access-control-sop.md**; ghi chú cho biết tài liệu này trước đây có tên **“Approval Matrix for System Access”** [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer only states that the document was previously named “Approval Matrix for System Access,” which is directly supported by the retrieved context. The filename claim is not supported, but the instruction asks for faithfulness of the answer; since the answer includes that unsupported filename, this is a minor issue.",5,Trả lời trực tiếp câu hỏi bằng cách nêu rõ tài liệu tương ứng là it/access-control-sop.md và giải thích tên cũ của nó.,5,Retrieved: 1/1 expected sources,5,"The answer correctly identifies the current document name and path, and notes its former name as 'Approval Matrix for System Access', matching the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period được làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer exactly matches the retrieved context: employees after probation can work remote up to 2 days per week.,5,"The answer directly states the maximum remote work allowance per week, which matches the question.",5,Retrieved: 1/1 expected sources,4,"Câu trả lời nêu đúng số ngày remote tối đa là 2 ngày/tuần, nhưng thiếu điều kiện cần có sự phê duyệt của Team Lead.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết. Trong ngữ cảnh được cung cấp không có thông tin về lỗi **ERR-403-AUTH** hay cách xử lý lỗi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer only says it does not know and that the provided context contains no information about ERR-403-AUTH, which is consistent with the retrieved context.",5,The answer directly addresses the question by stating that there is no provided context about ERR-403-AUTH and therefore cannot explain or resolve it.,,No expected sources,5,Answer matches the expected response by stating there is no information available about ERR-403-AUTH in the provided context.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Tôi không biết. Tài liệu chỉ mô tả quy trình hoàn tiền chung qua ticket nội bộ, CS Agent và Finance Team, không nêu quy trình riêng cho khách hàng VIP hay hoàn tiền khẩn cấp [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer introduces unsupported claims about VIP and urgent refunds, which are not in the retrieved context. It also says 'I don't know,' but the added specifics are fabricated.",5,The answer directly addresses the question by stating that the document does not mention a separate urgent refund process for VIP customers and explains the general refund workflow instead.,5,Retrieved: 1/1 expected sources,4,"Answer correctly states there is no special VIP/urgent refund process mentioned, which matches the expected answer. However, it misses the specific detail that refunds follow the standard 3-5 business day timeline.",baseline_dense
